,CMU1,CUBoulder1,Amherst1,UChicago1,Princeton1,ND1,Cornell2,Baruch1,Harvard1,UCBerkeley1,StBon1,UChicago3,Indiana1,Iowa1,UChicago4,ND2,Dartmouth2,UChicago5,Columbia1,CMU2,Amherst2
1247,8.30E-06,0.000439724,6.25E-05,-0.000133546,0.000344074,9.49E-05,9.08E-05,0.000198811,9.31E-05,7.54E-05,4.34E-05,0.000375588,0.000341706,1.00E-05,-7.24E-05,0.000147379,0.000157239,0,0.000165334,0.000301609,9.44E-05
1248,0.000128046,-9.29E-06,-0.000102922,-0.000134128,0.000241286,-0.000277127,-0.000128046,0.000173777,-9.39E-05,0.000121763,6.27E-06,-4.17E-05,0.000773407,-0.000111728,-6.97E-05,-0.000187805,-0.000173676,0,0.000193146,-0.000144754,-0.000101436
1249,0.000128799,-0.000151076,-4.38E-05,2.37E-05,1.28E-05,-4.06E-05,-3.74E-05,-0.000198809,9.38E-06,4.84E-05,-2.39E-05,0.000104803,-3.33E-05,6.18E-05,-0.000129965,-0.000103012,-9.88E-07,0,-1.80E-05,-0.000296376,-2.89E-05
1250,4.69E-05,-0.000287566,6.33E-05,0.00022231,-7.86E-05,-2.01E-05,6.36E-05,-2.19E-05,8.23E-05,6.77E-05,-5.25E-05,-1.13E-05,-0.000752081,0.000184582,-1.74E-05,6.10E-05,3.87E-05,0,0.000206166,0.000115274,6.93E-05
1251,3.92E-05,-0.000312928,-8.32E-05,6.40E-05,0.000358832,4.66E-05,-5.10E-05,-0.000132172,-5.20E-05,0.000110734,0.0002484,0.000223081,-0.000224126,1.96E-05,0.000104948,-3.64E-05,-0.000109038,0,-0.000258832,-0.000240048,-7.73E-05
1252,-0.000148918,0.000238239,0.000148498,0.000314979,0.000334065,0.000240707,0.000216358,-0.000114027,0.000302627,0.000136547,0.000137679,-0.000278869,-8.37E-05,-3.36E-05,-4.00E-05,0.000204743,0.000241606,0,0.000225832,-0.000293201,0.000161049
1253,0.000127094,-1.11E-05,-6.91E-05,0.000136656,-0.000312795,0.000134953,-3.23E-05,-0.000177476,6.10E-05,0.000150012,0.000135566,3.65E-05,-0.001012395,0.00016266,3.08E-05,5.07E-06,0.000104042,0,2.29E-05,-0.000494687,-6.52E-05
1254,-3.50E-05,0.000133776,6.79E-05,0.000123152,0.000339953,0.000124873,1.73E-05,3.50E-05,3.65E-06,1.91E-05,-8.70E-05,0.000283885,0.000670855,-0.000102824,-9.55E-05,0.000169637,0.000169061,0,0.000373551,0.000195868,6.71E-05
1255,5.77E-06,-0.000798403,6.82E-05,0.000325868,-8.33E-05,0.000137364,5.04E-05,-4.40E-05,0.000112504,0.000168411,0.000158188,0.000267059,-2.01E-06,4.09E-05,3.82E-05,-3.23E-06,0.000138531,0,0.000453508,0.000132937,8.87E-05
1256,-0.000118609,-0.000190777,4.23E-05,0.000160896,0.000131779,0.000100069,-3.38E-05,0.000120193,-4.96E-05,-3.70E-05,-0.000202111,2.06E-05,-0.000315916,5.57E-05,-0.000138463,0.000123225,1.88E-05,0,0.000222701,-0.000631557,3.47E-05
1257,-0.000150417,-0.000333828,-3.20E-05,0.000214074,0.000130904,0.000265534,-5.43E-05,-0.000140416,-3.16E-05,8.07E-05,0.000257975,-9.64E-06,0.0006714,-0.000121678,0.000237265,4.45E-06,0.000172335,0,0.000151851,0.000352481,-2.90E-05
1258,9.21E-05,-0.000195933,0.000110711,-8.18E-05,0.00041228,0.000140043,0.00014834,7.29E-05,0.000156644,1.73E-05,0.000188857,0.000328244,0.000322543,-0.000221997,0.000156567,0.00010482,8.98E-05,0,0.000204051,0.0002184,0.000130368
